vertex_id,part_hint,mds0_norm,mds1_norm,mds2_norm,atlas_u_norm,atlas_v_norm
12729,right_hand,0.98298335,0.57488090,0.72883415,0.98298335,0.42511910
12730,right_hand,0.97183347,0.57201934,0.75543529,0.97183347,0.42798066
12731,right_hand,0.97965884,0.57624322,0.76000786,0.97965884,0.42375678
12732,right_hand,0.98271340,0.57277936,0.72936249,0.98271340,0.42722064
12733,right_hand,0.95027691,0.58574152,0.77198690,0.95027691,0.41425848
12734,right_hand,0.94804811,0.58639538,0.78260148,0.94804811,0.41360462
12735,right_hand,0.95324183,0.58275700,0.74090642,0.95324183,0.41724300
12736,right_hand,0.95226288,0.58451420,0.75606078,0.95226288,0.41548580
12737,right_hand,0.95273960,0.58368659,0.75528073,0.95273960,0.41631341
12738,right_hand,0.95404214,0.58183420,0.75435561,0.95404214,0.41816580
12739,right_hand,0.95524365,0.57995176,0.73739058,0.95524365,0.42004824
12740,right_hand,0.95193833,0.58149511,0.79486901,0.95193833,0.41850489
12741,right_hand,0.95207578,0.58322895,0.77527475,0.95207578,0.41677105
12742,right_hand,0.95590335,0.57939363,0.75755554,0.95590335,0.42060637
12743,right_lower_arm,0.90835440,0.65114301,0.55478483,0.90835440,0.34885699
12744,right_lower_arm,0.91142637,0.64897817,0.56165040,0.91142637,0.35102183
12745,right_lower_arm,0.91586363,0.64692032,0.55679250,0.91586363,0.35307968
12746,right_lower_arm,0.90822595,0.65205067,0.54840928,0.90822595,0.34794933
12747,right_lower_arm,0.90482235,0.65504795,0.53646493,0.90482235,0.34495205
12748,right_lower_arm,0.90808839,0.65258569,0.54321545,0.90808839,0.34741431
12749,right_lower_arm,0.92181659,0.63890636,0.60608953,0.92181659,0.36109364
12750,right_lower_arm,0.92343318,0.63701349,0.61704683,0.92343318,0.36298651
12751,right_lower_arm,0.92887461,0.63397384,0.62232602,0.92887461,0.36602616
12752,right_lower_arm,0.92224020,0.63955510,0.59686834,0.92224020,0.36044490
12753,right_lower_arm,0.92504454,0.63884914,0.58814549,0.92504454,0.36115086
12754,right_lower_arm,0.92863625,0.63481122,0.61223906,0.92863625,0.36518878
12755,right_lower_arm,0.92637455,0.63608116,0.61068076,0.92637455,0.36391884
12756,right_lower_arm,0.91849428,0.64266789,0.58608747,0.91849428,0.35733211
12757,right_lower_arm,0.91471624,0.64597797,0.57363445,0.91471624,0.35402203
12758,right_lower_arm,0.91948825,0.64384621,0.56816655,0.91948825,0.35615379
12759,right_lower_arm,0.92237586,0.64157373,0.57504767,0.92237586,0.35842627
